year,hs6,c
2008,10392,1
2008,10619,1
2008,10620,1
2008,10631,1
2008,20210,1
2008,20311,1
2008,30510,1
2008,40410,1
2008,40899,1
2008,50400,1
2008,50590,1
2008,51191,1
2008,60210,1
2008,60410,1
2008,81290,1
2008,90112,1
2008,100200,1
2008,100510,1
2008,110710,1
2008,110720,1
2008,120590,1
2008,120799,1
2008,120999,1
2008,121130,1
2008,121140,1
2008,121190,1
2008,150410,1
2008,150420,1
2008,151521,1
2008,151550,1
2008,151590,1
2008,160300,1
2008,210220,1
2008,210230,1
2008,220710,1
2008,230500,1
2008,240110,1
2008,240130,1
2008,250590,1
2008,250610,1
2008,251110,1
2008,251400,1
2008,251611,1
2008,251710,1
2008,251741,1
2008,251910,1
2008,251990,1
2008,252210,1
2008,252220,1
2008,252230,1
2008,252310,1
2008,252329,1
2008,252510,1
2008,252910,1
2008,260300,1
2008,261900,1
2008,262011,1
2008,262091,1
2008,262099,1
2008,262110,1
2008,270400,1
2008,270740,1
2008,270791,1
2008,270810,1
2008,270900,1
2008,271113,1
2008,271119,1
2008,271210,1
2008,271220,1
2008,271490,1
2008,271500,1
2008,280110,1
2008,280421,1
2008,280430,1
2008,280440,1
2008,280450,1
2008,280480,1
2008,280490,1
2008,281121,1
2008,281420,1
2008,281512,1
2008,281610,1
2008,281810,1
2008,281830,1
2008,282410,1
2008,282540,1
2008,282612,1
2008,282630,1
2008,283322,1
2008,283325,1
2008,283329,1
2008,283526,1
2008,283539,1
2008,283620,1
2008,283630,1
2008,283650,1
2008,283990,1
2008,284590,1
2008,284700,1
2008,284920,1
2008,284990,1
2008,290122,1
2008,290124,1
2008,290220,1
2008,290243,1
2008,290290,1
2008,290329,1
2008,290331,1
2008,290344,1
2008,290351,1
2008,290511,1
2008,290542,1
2008,290619,1
2008,290723,1
2008,290811,1
2008,290891,1
2008,290919,1
2008,291020,1
2008,291030,1
2008,291090,1
2008,291211,1
2008,291219,1
2008,291421,1
2008,291431,1
2008,291439,1
2008,291440,1
2008,291560,1
2008,291590,1
2008,291714,1
2008,291719,1
2008,291732,1
2008,291735,1
2008,291736,1
2008,291813,1
2008,291819,1
2008,291891,1
2008,291910,1
2008,292146,1
2008,292219,1
2008,292249,1
2008,292250,1
2008,292390,1
2008,292411,1
2008,292421,1
2008,292423,1
2008,292512,1
2008,292610,1
2008,292700,1
2008,293229,1
2008,293299,1
2008,293369,1
2008,293371,1
2008,293372,1
2008,293379,1
2008,293430,1
2008,293499,1
2008,293722,1
2008,293723,1
2008,293729,1
2008,293790,1
2008,293919,1
2008,294200,1
2008,300692,1
2008,310229,1
2008,310230,1
2008,310260,1
2008,310280,1
2008,310520,1
2008,310551,1
2008,310590,1
2008,320619,1
2008,320649,1
2008,320740,1
2008,320810,1
2008,320890,1
2008,321000,1
2008,321100,1
2008,321410,1
2008,321519,1
2008,330129,1
2008,340211,1
2008,340290,1
2008,340490,1
2008,350219,1
2008,350290,1
2008,350710,1
2008,350790,1
2008,360100,1
2008,360200,1
2008,370191,1
2008,370510,1
2008,380610,1
2008,380620,1
2008,380910,1
2008,380991,1
2008,380992,1
2008,381119,1
2008,381129,1
2008,381230,1
2008,382311,1
2008,382410,1
2008,382440,1
2008,382476,1
2008,382478,1
2008,382541,1
2008,382549,1
2008,382550,1
2008,382569,1
2008,382590,1
2008,390110,1
2008,390311,1
2008,390421,1
2008,390422,1
2008,390512,1
2008,390760,1
2008,390910,1
2008,390920,1
2008,390940,1
2008,391520,1
2008,391620,1
2008,391721,1
2008,391729,1
2008,391732,1
2008,391739,1
2008,391740,1
2008,391890,1
2008,392010,1
2008,392020,1
2008,392030,1
2008,392051,1
2008,392063,1
2008,392069,1
2008,392092,1
2008,392111,1
2008,392112,1
2008,392113,1
2008,392210,1
2008,392310,1
2008,392329,1
2008,392390,1
2008,392510,1
2008,392520,1
2008,392590,1
2008,392610,1
2008,392630,1
2008,400121,1
2008,400211,1
2008,400400,1
2008,400510,1
2008,400819,1
2008,400821,1
2008,400829,1
2008,400911,1
2008,400912,1
2008,400921,1
2008,400941,1
2008,401012,1
2008,401033,1
2008,401110,1
2008,401120,1
2008,401162,1
2008,401192,1
2008,401193,1
2008,401199,1
2008,401211,1
2008,401219,1
2008,401700,1
2008,410229,1
2008,410320,1
2008,410441,1
2008,410692,1
2008,410711,1
2008,410712,1
2008,410719,1
2008,410791,1
2008,410792,1
2008,411410,1
2008,411420,1
2008,411520,1
2008,430160,1
2008,430190,1
2008,430211,1
2008,430219,1
2008,430230,1
2008,440121,1
2008,440392,1
2008,440420,1
2008,440500,1
2008,440890,1
2008,440921,1
2008,441011,1
2008,441012,1
2008,441112,1
2008,441114,1
2008,441194,1
2008,441300,1
2008,441520,1
2008,441700,1
2008,441871,1
2008,441879,1
2008,441890,1
2008,442190,1
2008,470329,1
2008,470620,1
2008,470693,1
2008,480100,1
2008,480210,1
2008,480220,1
2008,480254,1
2008,480255,1
2008,480257,1
2008,480262,1
2008,480519,1
2008,480524,1
2008,480525,1
2008,480591,1
2008,480592,1
2008,480610,1
2008,480700,1
2008,480810,1
2008,480990,1
2008,481092,1
2008,481099,1
2008,481159,1
2008,481190,1
2008,481200,1
2008,481420,1
2008,481490,1
2008,481930,1
2008,481950,1
2008,482010,1
2008,482040,1
2008,482090,1
2008,490600,1
2008,510219,1
2008,510320,1
2008,510330,1
2008,510720,1
2008,511190,1
2008,511290,1
2008,511300,1
2008,520210,1
2008,520291,1
2008,520419,1
2008,520511,1
2008,520534,1
2008,520625,1
2008,520632,1
2008,520633,1
2008,520831,1
2008,520832,1
2008,520841,1
2008,520842,1
2008,520921,1
2008,520931,1
2008,520943,1
2008,520949,1
2008,521011,1
2008,521019,1
2008,521029,1
2008,521049,1
2008,521142,1
2008,521149,1
2008,521151,1
2008,521214,1
2008,521221,1
2008,521223,1
2008,530210,1
2008,530620,1
2008,530820,1
2008,530911,1
2008,530921,1
2008,530929,1
2008,540110,1
2008,540219,1
2008,540239,1
2008,540248,1
2008,540251,1
2008,540262,1
2008,540720,1
2008,540751,1
2008,540754,1
2008,540769,1
2008,540771,1
2008,540791,1
2008,540822,1
2008,550140,1
2008,550330,1
2008,550610,1
2008,550630,1
2008,550690,1
2008,550810,1
2008,550942,1
2008,550952,1
2008,550999,1
2008,551030,1
2008,551090,1
2008,551211,1
2008,551219,1
2008,551221,1
2008,551319,1
2008,551321,1
2008,551323,1
2008,551339,1
2008,551419,1
2008,551423,1
2008,551429,1
2008,551443,1
2008,551449,1
2008,551511,1
2008,551519,1
2008,551599,1
2008,551621,1
2008,551622,1
2008,551643,1
2008,560122,1
2008,560129,1
2008,560210,1
2008,560221,1
2008,560392,1
2008,560410,1
2008,560721,1
2008,560729,1
2008,560741,1
2008,560749,1
2008,560750,1
2008,560790,1
2008,560811,1
2008,560890,1
2008,580125,1
2008,580190,1
2008,580632,1
2008,580640,1
2008,580810,1
2008,580890,1
2008,590190,1
2008,590210,1
2008,590220,1
2008,590290,1
2008,591131,1
2008,591140,1
2008,591190,1
2008,600199,1
2008,600310,1
2008,600521,1
2008,600531,1
2008,600533,1
2008,600542,1
2008,600643,1
2008,630533,1
2008,630539,1
2008,630619,1
2008,631010,1
2008,631090,1
2008,660320,1
2008,660390,1
2008,680210,1
2008,680530,1
2008,680610,1
2008,680710,1
2008,680800,1
2008,680911,1
2008,680919,1
2008,680990,1
2008,681011,1
2008,681019,1
2008,681091,1
2008,681181,1
2008,681183,1
2008,681189,1
2008,681490,1
2008,690220,1
2008,690410,1
2008,690490,1
2008,690510,1
2008,691010,1
2008,691410,1
2008,700320,1
2008,700529,1
2008,700721,1
2008,700729,1
2008,700992,1
2008,701010,1
2008,701020,1
2008,701190,1
2008,701790,1
2008,701911,1
2008,701912,1
2008,701931,1
2008,701932,1
2008,701939,1
2008,701940,1
2008,701990,1
2008,710110,1
2008,710310,1
2008,710691,1
2008,710692,1
2008,710813,1
2008,711100,1
2008,711291,1
2008,711299,1
2008,720221,1
2008,720229,1
2008,720291,1
2008,720390,1
2008,720430,1
2008,720510,1
2008,720719,1
2008,720810,1
2008,720825,1
2008,720826,1
2008,720827,1
2008,720837,1
2008,720838,1
2008,720839,1
2008,720851,1
2008,720852,1
2008,720890,1
2008,720925,1
2008,720926,1
2008,720928,1
2008,720990,1
2008,721011,1
2008,721070,1
2008,721090,1
2008,721113,1
2008,721114,1
2008,721119,1
2008,721123,1
2008,721129,1
2008,721190,1
2008,721210,1
2008,721240,1
2008,721310,1
2008,721391,1
2008,721399,1
2008,721410,1
2008,721420,1
2008,721491,1
2008,721499,1
2008,721550,1
2008,721590,1
2008,721610,1
2008,721621,1
2008,721622,1
2008,721661,1
2008,721669,1
2008,721691,1
2008,721710,1
2008,721720,1
2008,721911,1
2008,721912,1
2008,721922,1
2008,722011,1
2008,722012,1
2008,722490,1
2008,722550,1
2008,722699,1
2008,722720,1
2008,722790,1
2008,722830,1
2008,722840,1
2008,722850,1
2008,722920,1
2008,730110,1
2008,730120,1
2008,730419,1
2008,730422,1
2008,730431,1
2008,730441,1
2008,730490,1
2008,730520,1
2008,730590,1
2008,730611,1
2008,730640,1
2008,730661,1
2008,730690,1
2008,730719,1
2008,730729,1
2008,730890,1
2008,731010,1
2008,731210,1
2008,731290,1
2008,731412,1
2008,731449,1
2008,731520,1
2008,731581,1
2008,731589,1
2008,731590,1
2008,731700,1
2008,732010,1
2008,732020,1
2008,732090,1
2008,732190,1
2008,732290,1
2008,732591,1
2008,732620,1
2008,732690,1
2008,740200,1
2008,740321,1
2008,740400,1
2008,740500,1
2008,740710,1
2008,740721,1
2008,740729,1
2008,740811,1
2008,740819,1
2008,740822,1
2008,740829,1
2008,740911,1
2008,740919,1
2008,740929,1
2008,741011,1
2008,741110,1
2008,741129,1
2008,741220,1
2008,741521,1
2008,741991,1
2008,750720,1
2008,760310,1
2008,760320,1
2008,760429,1
2008,760511,1
2008,760611,1
2008,760612,1
2008,760691,1
2008,760692,1
2008,760720,1
2008,760820,1
2008,760900,1
2008,761090,1
2008,761290,1
2008,761490,1
2008,761610,1
2008,761699,1
2008,790111,1
2008,790112,1
2008,790700,1
2008,800120,1
2008,800300,1
2008,810330,1
2008,810419,1
2008,810720,1
2008,810730,1
2008,810790,1
2008,810820,1
2008,811090,1
2008,811212,1
2008,811222,1
2008,811251,1
2008,811252,1
2008,811259,1
2008,811300,1
2008,820110,1
2008,820120,1
2008,820190,1
2008,820210,1
2008,820291,1
2008,820520,1
2008,820530,1
2008,820580,1
2008,820713,1
2008,820750,1
2008,820770,1
2008,830120,1
2008,830150,1
2008,830210,1
2008,830230,1
2008,830241,1
2008,830300,1
2008,830400,1
2008,830510,1
2008,830610,1
2008,830790,1
2008,830910,1
2008,831110,1
2008,831120,1
2008,831190,1
2008,840212,1
2008,840219,1
2008,840220,1
2008,840290,1
2008,840410,1
2008,840420,1
2008,840490,1
2008,840590,1
2008,840682,1
2008,840710,1
2008,841090,1
2008,841210,1
2008,841280,1
2008,841319,1
2008,841459,1
2008,841520,1
2008,841581,1
2008,841583,1
2008,841590,1
2008,841780,1
2008,841850,1
2008,841899,1
2008,841920,1
2008,841940,1
2008,841960,1
2008,842091,1
2008,842121,1
2008,842191,1
2008,842290,1
2008,842430,1
2008,842549,1
2008,842611,1
2008,842630,1
2008,842691,1
2008,842820,1
2008,842839,1
2008,842890,1
2008,843050,1
2008,843139,1
2008,843141,1
2008,843142,1
2008,843229,1
2008,843290,1
2008,843830,1
2008,843920,1
2008,843999,1
2008,844180,1
2008,844621,1
2008,844842,1
2008,844900,1
2008,845090,1
2008,845190,1
2008,845310,1
2008,845530,1
2008,845959,1
2008,846210,1
2008,846221,1
2008,846596,1
2008,846692,1
2008,846722,1
2008,846880,1
2008,846890,1
2008,847050,1
2008,847321,1
2008,847410,1
2008,847490,1
2008,847510,1
2008,847690,1
2008,847759,1
2008,847910,1
2008,847960,1
2008,847982,1
2008,848060,1
2008,848110,1
2008,848180,1
2008,848299,1
2008,848330,1
2008,848790,1
2008,850110,1
2008,850132,1
2008,850134,1
2008,850421,1
2008,850422,1
2008,850423,1
2008,850431,1
2008,850432,1
2008,850450,1
2008,850519,1
2008,850720,1
2008,850990,1
2008,851220,1
2008,851230,1
2008,851310,1
2008,851490,1
2008,851690,1
2008,851718,1
2008,851822,1
2008,851829,1
2008,851830,1
2008,851840,1
2008,852190,1
2008,852210,1
2008,852380,1
2008,852721,1
2008,852841,1
2008,852873,1
2008,852910,1
2008,853010,1
2008,853180,1
2008,853190,1
2008,853210,1
2008,853225,1
2008,853321,1
2008,853590,1
2008,853641,1
2008,853910,1
2008,854012,1
2008,854040,1
2008,854099,1
2008,854130,1
2008,854411,1
2008,854420,1
2008,854430,1
2008,854442,1
2008,854449,1
2008,854460,1
2008,854620,1
2008,854710,1
2008,854720,1
2008,854790,1
2008,854810,1
2008,860120,1
2008,860699,1
2008,860712,1
2008,860721,1
2008,860729,1
2008,860791,1
2008,860799,1
2008,860800,1
2008,860900,1
2008,870490,1
2008,870590,1
2008,870810,1
2008,870829,1
2008,870850,1
2008,870893,1
2008,870895,1
2008,870990,1
2008,871420,1
2008,871631,1
2008,871639,1
2008,871680,1
2008,871690,1
2008,890510,1
2008,890690,1
2008,890800,1
2008,900110,1
2008,900211,1
2008,900580,1
2008,900590,1
2008,900610,1
2008,900630,1
2008,900691,1
2008,900791,1
2008,901060,1
2008,901780,1
2008,901820,1
2008,901910,1
2008,902511,1
2008,902519,1
2008,902580,1
2008,902680,1
2008,902790,1
2008,902810,1
2008,902910,1
2008,902990,1
2008,903190,1
2008,903220,1
2008,910690,1
2008,910919,1
2008,911019,1
2008,911090,1
2008,911220,1
2008,911290,1
2008,930119,1
2008,930591,1
2008,930630,1
2008,930700,1
2008,940120,1
2008,940190,1
2008,940330,1
2008,940550,1
2008,940560,1
2008,940599,1
2008,940600,1
2008,950430,1
2008,960390,1
2008,960891,1
2008,961390,1
2009,10392,1
2009,10410,1
2009,10619,1
2009,10620,1
2009,10639,1
2009,20900,1
2009,50800,1
2009,51000,1
2009,51110,1
2009,51191,1
2009,100610,1
2009,110210,1
2009,110610,1
2009,120400,1
2009,120590,1
2009,120750,1
2009,120991,1
2009,121190,1
2009,130190,1
2009,140110,1
2009,140190,1
2009,151229,1
2009,151491,1
2009,151521,1
2009,151610,1
2009,152190,1
2009,170112,1
2009,170191,1
2009,170240,1
2009,210220,1
2009,210230,1
2009,220710,1
2009,230210,1
2009,230330,1
2009,230500,1
2009,230800,1
2009,240130,1
2009,240399,1
2009,250490,1
2009,250620,1
2009,250810,1
2009,251110,1
2009,251400,1
2009,251520,1
2009,251611,1
2009,251730,1
2009,251830,1
2009,251910,1
2009,251990,1
2009,252210,1
2009,252220,1
2009,252321,1
2009,252329,1
2009,252510,1
2009,252890,1
2009,252910,1
2009,260112,1
2009,261310,1
2009,261710,1
2009,261800,1
2009,262019,1
2009,262029,1
2009,262110,1
2009,262190,1
2009,270400,1
2009,270710,1
2009,270740,1
2009,270791,1
2009,270810,1
2009,270900,1
2009,271114,1
2009,271119,1
2009,271220,1
2009,271290,1
2009,271390,1
2009,271490,1
2009,280200,1
2009,280430,1
2009,281121,1
2009,281410,1
2009,281511,1
2009,281512,1
2009,281810,1
2009,281830,1
2009,282410,1
2009,282540,1
2009,282630,1
2009,282759,1
2009,283090,1
2009,283322,1
2009,283325,1
2009,283329,1
2009,283539,1
2009,283720,1
2009,283990,1
2009,284169,1
2009,284190,1
2009,284700,1
2009,284920,1
2009,290122,1
2009,290124,1
2009,290220,1
2009,290243,1
2009,290290,1
2009,290315,1
2009,290321,1
2009,290331,1
2009,290347,1
2009,290351,1
2009,290511,1
2009,290514,1
2009,290531,1
2009,290543,1
2009,290891,1
2009,290911,1
2009,291030,1
2009,291040,1
2009,291450,1
2009,291512,1
2009,291570,1
2009,291590,1
2009,291719,1
2009,291720,1
2009,291734,1
2009,291735,1
2009,291891,1
2009,292090,1
2009,292111,1
2009,292146,1
2009,292211,1
2009,292231,1
2009,292243,1
2009,292249,1
2009,292250,1
2009,292320,1
2009,292411,1
2009,292412,1
2009,292423,1
2009,292700,1
2009,292990,1
2009,293229,1
2009,293292,1
2009,293329,1
2009,293353,1
2009,293372,1
2009,293379,1
2009,293491,1
2009,293723,1
2009,293740,1
2009,293911,1
2009,293919,1
2009,293941,1
2009,293949,1
2009,293961,1
2009,310229,1
2009,310240,1
2009,310260,1
2009,310290,1
2009,310520,1
2009,310551,1
2009,310559,1
2009,320620,1
2009,320649,1
2009,320810,1
2009,320890,1
2009,320910,1
2009,321100,1
2009,321410,1
2009,321490,1
2009,330113,1
2009,340219,1
2009,340290,1
2009,350211,1
2009,350290,1
2009,350400,1
2009,350710,1
2009,360200,1
2009,360300,1
2009,370199,1
2009,380610,1
2009,380992,1
2009,381010,1
2009,381590,1
2009,382410,1
2009,382440,1
2009,382450,1
2009,382477,1
2009,382479,1
2009,382482,1
2009,382530,1
2009,382541,1
2009,382549,1
2009,382550,1
2009,390110,1
2009,390120,1
2009,390210,1
2009,390311,1
2009,390410,1
2009,390512,1
2009,390519,1
2009,390760,1
2009,390791,1
2009,390940,1
2009,390950,1
2009,391620,1
2009,391690,1
2009,391721,1
2009,391722,1
2009,391723,1
2009,391729,1
2009,391731,1
2009,391732,1
2009,391733,1
2009,391739,1
2009,391740,1
2009,391890,1
2009,392010,1
2009,392020,1
2009,392030,1
2009,392043,1
2009,392059,1
2009,392062,1
2009,392063,1
2009,392093,1
2009,392111,1
2009,392112,1
2009,392210,1
2009,392290,1
2009,392390,1
2009,392510,1
2009,392610,1
2009,400130,1
2009,400280,1
2009,400400,1
2009,400510,1
2009,400610,1
2009,400690,1
2009,400819,1
2009,400821,1
2009,400829,1
2009,400921,1
2009,401019,1
2009,401033,1
2009,401110,1
2009,401162,1
2009,401211,1
2009,401699,1
2009,401700,1
2009,410229,1
2009,410441,1
2009,410510,1
2009,410621,1
2009,410640,1
2009,410691,1
2009,410711,1
2009,410712,1
2009,410719,1
2009,410791,1
2009,410792,1
2009,411410,1
2009,411520,1
2009,420600,1
2009,430211,1
2009,430219,1
2009,440130,1
2009,440500,1
2009,440610,1
2009,440791,1
2009,440799,1
2009,440921,1
2009,440929,1
2009,441011,1
2009,441112,1
2009,441114,1
2009,441193,1
2009,441194,1
2009,441300,1
2009,441520,1
2009,441700,1
2009,441872,1
2009,441879,1
2009,441890,1
2009,442190,1
2009,470329,1
2009,470720,1
2009,480210,1
2009,480220,1
2009,480254,1
2009,480451,1
2009,480519,1
2009,480524,1
2009,480525,1
2009,480591,1
2009,480592,1
2009,480610,1
2009,480810,1
2009,481092,1
2009,481099,1
2009,481159,1
2009,481160,1
2009,481190,1
2009,481200,1
2009,481390,1
2009,481490,1
2009,481690,1
2009,481930,1
2009,481950,1
2009,482090,1
2009,482340,1
2009,482390,1
2009,490600,1
2009,500100,1
2009,500500,1
2009,510119,1
2009,510121,1
2009,510219,1
2009,510320,1
2009,510540,1
2009,511130,1
2009,511300,1
2009,520210,1
2009,520299,1
2009,520419,1
2009,520524,1
2009,520526,1
2009,520621,1
2009,520625,1
2009,520632,1
2009,520644,1
2009,520645,1
2009,520819,1
2009,520831,1
2009,520832,1
2009,520839,1
2009,520841,1
2009,520842,1
2009,520843,1
2009,520852,1
2009,520931,1
2009,520943,1
2009,520949,1
2009,520952,1
2009,521011,1
2009,521019,1
2009,521029,1
2009,521039,1
2009,521049,1
2009,521111,1
2009,521112,1
2009,521120,1
2009,521151,1
2009,521212,1
2009,521221,1
2009,521223,1
2009,530210,1
2009,530890,1
2009,530921,1
2009,540219,1
2009,540233,1
2009,540239,1
2009,540245,1
2009,540262,1
2009,540342,1
2009,540490,1
2009,540710,1
2009,540730,1
2009,540753,1
2009,540773,1
2009,540793,1
2009,540823,1
2009,540831,1
2009,540833,1
2009,550120,1
2009,550190,1
2009,550630,1
2009,550810,1
2009,550922,1
2009,550941,1
2009,550942,1
2009,551030,1
2009,551090,1
2009,551211,1
2009,551291,1
2009,551313,1
2009,551321,1
2009,551331,1
2009,551339,1
2009,551411,1
2009,551419,1
2009,551421,1
2009,551423,1
2009,551443,1
2009,551449,1
2009,551511,1
2009,551519,1
2009,551522,1
2009,551611,1
2009,551621,1
2009,551624,1
2009,551631,1
2009,551634,1
2009,551641,1
2009,551643,1
2009,560122,1
2009,560210,1
2009,560221,1
2009,560311,1
2009,560312,1
2009,560391,1
2009,560392,1
2009,560410,1
2009,560500,1
2009,560600,1
2009,560729,1
2009,560741,1
2009,560749,1
2009,560750,1
2009,560790,1
2009,560811,1
2009,560890,1
2009,560900,1
2009,580124,1
2009,580125,1
2009,580133,1
2009,580610,1
2009,580632,1
2009,580640,1
2009,580810,1
2009,580890,1
2009,590190,1
2009,590210,1
2009,590220,1
2009,590320,1
2009,591000,1
2009,591131,1
2009,591132,1
2009,591190,1
2009,600110,1
2009,600320,1
2009,600330,1
2009,600340,1
2009,600390,1
2009,600531,1
2009,600543,1
2009,600621,1
2009,600631,1
2009,600633,1
2009,600641,1
2009,600643,1
2009,630533,1
2009,630539,1
2009,630590,1
2009,630619,1
2009,631010,1
2009,631090,1
2009,680100,1
2009,680292,1
2009,680299,1
2009,680510,1
2009,680610,1
2009,680620,1
2009,680710,1
2009,680800,1
2009,680990,1
2009,681011,1
2009,681091,1
2009,681140,1
2009,681181,1
2009,681182,1
2009,681183,1
2009,681189,1
2009,690290,1
2009,690320,1
2009,690410,1
2009,690490,1
2009,690510,1
2009,690590,1
2009,691010,1
2009,691490,1
2009,700232,1
2009,700529,1
2009,700530,1
2009,700729,1
2009,700910,1
2009,700992,1
2009,701790,1
2009,701912,1
2009,701919,1
2009,701939,1
2009,701940,1
2009,710110,1
2009,710490,1
2009,710812,1
2009,711011,1
2009,711031,1
2009,711100,1
2009,711291,1
2009,711292,1
2009,711299,1
2009,720120,1
2009,720211,1
2009,720229,1
2009,720291,1
2009,720390,1
2009,720421,1
2009,720690,1
2009,720825,1
2009,720837,1
2009,720838,1
2009,720839,1
2009,720851,1
2009,720852,1
2009,720853,1
2009,720890,1
2009,720915,1
2009,720916,1
2009,720917,1
2009,720925,1
2009,720927,1
2009,721113,1
2009,721119,1
2009,721123,1
2009,721129,1
2009,721190,1
2009,721210,1
2009,721240,1
2009,721310,1
2009,721391,1
2009,721399,1
2009,721420,1
2009,721430,1
2009,721491,1
2009,721499,1
2009,721550,1
2009,721590,1
2009,721661,1
2009,721669,1
2009,721699,1
2009,721710,1
2009,721720,1
2009,721921,1
2009,721922,1
2009,721933,1
2009,722011,1
2009,722490,1
2009,722550,1
2009,722699,1
2009,722820,1
2009,722850,1
2009,722920,1
2009,730419,1
2009,730431,1
2009,730590,1
2009,730611,1
2009,730640,1
2009,730661,1
2009,730690,1
2009,730719,1
2009,730729,1
2009,730793,1
2009,730840,1
2009,730890,1
2009,731210,1
2009,731420,1
2009,731431,1
2009,731449,1
2009,731581,1
2009,731600,1
2009,731700,1
2009,732010,1
2009,732090,1
2009,732190,1
2009,732510,1
2009,732619,1
2009,732690,1
2009,740200,1
2009,740311,1
2009,740400,1
2009,740721,1
2009,740819,1
2009,740822,1
2009,740829,1
2009,740911,1
2009,740919,1
2009,741011,1
2009,741022,1
2009,741121,1
2009,741521,1
2009,741539,1
2009,750300,1
2009,750521,1
2009,750890,1
2009,760120,1
2009,760421,1
2009,760511,1
2009,760521,1
2009,760529,1
2009,760611,1
2009,760612,1
2009,760691,1
2009,760719,1
2009,760720,1
2009,760820,1
2009,760900,1
2009,761010,1
2009,761090,1
2009,761210,1
2009,761290,1
2009,761410,1
2009,761610,1
2009,761699,1
2009,790111,1
2009,790112,1
2009,790700,1
2009,800120,1
2009,800300,1
2009,800700,1
2009,810194,1
2009,810197,1
2009,810294,1
2009,810430,1
2009,810520,1
2009,810720,1
2009,810790,1
2009,811222,1
2009,811292,1
2009,811299,1
2009,820110,1
2009,820190,1
2009,820210,1
2009,820580,1
2009,820590,1
2009,820740,1
2009,820750,1
2009,820770,1
2009,820830,1
2009,830130,1
2009,830150,1
2009,830210,1
2009,830220,1
2009,830230,1
2009,830249,1
2009,830400,1
2009,830610,1
2009,831000,1
2009,831120,1
2009,831190,1
2009,840140,1
2009,840211,1
2009,840290,1
2009,840410,1
2009,840420,1
2009,840490,1
2009,840590,1
